term,sub_grade,grade,emp_length,issue_y,revol_util_n,int_rate_n,installment_n,tot_hi_cred_lim_n,dti_n,avg_cur_bal_n,all_util_n,acc_open_past_24mths_n,annual_inc_n,loan_amnt_n,loan_status
60 months,C4,C,10+ years,15,87.1,14.31,702.3,350349,36.91,35256,100,1,98000,29975,Fully Paid
60 months,C1,C,< 1 year,15,57,12.29,268.7,43525,18.8,2990,100,2,45000,12000,Fully Paid
36 months,B3,B,1 year,15,42.8,9.99,258.1,72655,19.34,6569,100,5,62500,8000,Fully Paid
36 months,A4,A,3 years,15,95.7,7.26,433.95,62695,11.31,9416,100,0,127000,14000,Fully Paid
36 months,B5,B,< 1 year,15,91.8,11.53,758.78,120674,23.07,7059,100,6,116000,23000,Fully Paid
36 months,C2,C,10+ years,15,94,12.88,100.91,44525,14.85,5796,94,3,52201.91,3000,Fully Paid
36 months,B4,B,2 years,15,68.7,10.99,687.42,270421,24.61,14856,100,3,84000,21000,Charged Off
60 months,D1,D,2 years,15,46.6,15.61,602.79,227128,17.89,15647,100,8,80000,25000,Fully Paid
36 months,A1,A,7 years,15,42.9,5.32,210.81,140872,26.62,15676,100,3,70000,7000,Fully Paid
36 months,A5,A,3 years,15,48.9,7.89,206.49,209732,32.65,11152,100,2,35000,6600,Fully Paid
36 months,B2,B,5 years,15,60.4,9.17,1020.13,205841,23.69,12295,100,3,108000,32000,Fully Paid
36 months,E3,E,6 years,15,88.7,19.99,182.08,43027,39.4,3957,100,6,24000,4900,Fully Paid
36 months,A2,A,10+ years,15,37,6.24,763.28,510807,12.53,34706,100,7,158000,25000,Fully Paid
36 months,A4,A,10+ years,15,56.3,7.49,653.14,194045,38.03,6260,100,3,77000,21000,Fully Paid
36 months,B2,B,4 years,15,26.6,9.17,191.28,36673,6.8,1689,100,9,54000,6000,Fully Paid
36 months,C5,C,10+ years,15,72,14.99,316.28,53080,15.31,3168,100,7,100000,9125,Fully Paid
60 months,B1,B,5 years,15,0,8.67,556.17,94230,17.53,11515,100,3,90000,27000,Fully Paid
36 months,B1,B,10+ years,15,44.9,8.18,502.72,413901,21.32,27566,100,7,78000,16000,Fully Paid
36 months,B1,B,5 years,15,35.2,8.18,942.59,1226338,21.31,55213,100,4,370000,30000,Fully Paid
60 months,C1,C,10+ years,15,59,12.29,604.57,110915,24.51,7786,100,5,61000,27000,Charged Off
36 months,B1,B,4 years,15,57.1,8.38,468.75,300748,28.3,38694,100,6,50500,14875,Fully Paid
60 months,B2,B,1 year,15,35.9,9.49,587.92,295541,14.55,11523,100,9,85500,28000,Fully Paid
36 months,B2,B,10+ years,15,55,9.17,828.86,153130,5.84,20315,55,4,110688,26000,Fully Paid
36 months,C1,C,2 years,15,79.2,12.39,534.42,75512,21.63,2655,100,4,46000,16000,Charged Off
36 months,B4,B,5 years,15,49.2,10.99,491.01,265613,23.69,10503,100,11,80000,15000,Fully Paid
36 months,A5,A,2 years,15,87.5,7.89,500.58,62570,9.37,8364,100,1,125000,16000,Fully Paid
36 months,A1,A,10+ years,15,55.1,5.93,547.03,38265,7.11,3064,100,2,101000,18000,Fully Paid
36 months,B2,B,,15,42.1,9.17,159.4,31000,15.71,1304,100,2,27281.28,5000,Fully Paid
36 months,A5,A,10+ years,15,55,7.89,1095,730929,13.87,43988,100,0,200000,35000,Fully Paid
60 months,E2,E,10+ years,15,50.8,18.55,899.28,145500,8.01,3888,100,9,175000,35000,Fully Paid
60 months,E5,E,< 1 year,15,61.2,21.99,763.51,30500,10.1,1334,100,3,60000,27650,Fully Paid
36 months,B1,B,3 years,15,47.8,8.18,157.1,145136,20.43,6405,100,4,53000,5000,Fully Paid
60 months,C5,C,10+ years,15,80.5,14.65,330.5,117113,37.26,10018,100,3,65000,14000,Fully Paid
36 months,B1,B,10+ years,15,53,8.18,804.34,343922,35.52,15860,100,2,83000,25600,Fully Paid
36 months,B4,B,10+ years,15,68.6,10.99,294.61,203205,23.62,8040,100,9,75000,9000,Fully Paid
60 months,B1,B,8 years,15,76.6,8.18,488.71,70646,22.83,5668,100,4,51355,24000,Charged Off
36 months,A4,A,< 1 year,15,83.8,6.92,863.54,355849,16.43,27029,100,3,150000,28000,Fully Paid
36 months,B3,B,9 years,15,26.6,9.99,306.5,79951,31.76,2846,100,8,43000,9500,Charged Off
36 months,C4,C,1 year,15,34.9,13.99,125.59,17200,13.07,1160,100,5,18360,3675,Fully Paid
60 months,D2,D,10+ years,15,46.4,16.55,295.34,121861,29.33,4631,100,10,45000,12000,Fully Paid
36 months,A3,A,,15,34.6,6.89,123.31,24897,19.8,4450,100,2,28000,4000,Fully Paid
36 months,B3,B,2 years,15,46.8,9.76,643.1,162836,20.12,8359,69,8,108000,20000,Fully Paid
36 months,A5,A,2 years,15,34.5,7.89,234.65,214968,21.1,13793,100,5,48000,7500,Fully Paid
36 months,C2,C,10+ years,15,51.9,12.69,838.63,137006,23.12,3549,100,8,91345,25000,Charged Off
36 months,C1,C,1 year,15,39.1,12.39,220.45,156857,17.86,19802,100,3,24406,6600,Fully Paid
36 months,A5,A,3 years,15,55.6,7.89,1095,488412,10.29,38317,100,4,220000,35000,Charged Off
36 months,C5,C,,15,46.7,14.99,500.85,44300,20.15,1294,100,5,33000,14450,Fully Paid
36 months,A1,A,1 year,15,64.7,6.03,547.84,102573,26.02,5770,100,3,59800,18000,Fully Paid
36 months,B2,B,10+ years,15,49.9,9.17,318.79,30915,17.08,1891,100,4,48000,10000,Fully Paid
60 months,A5,A,7 years,15,63.7,7.89,424.7,107398,15.58,8736,100,7,80000,21000,Fully Paid
60 months,C1,C,10+ years,15,81.2,12.29,537.4,107700,10.32,15080,100,0,80000,24000,Fully Paid
60 months,C3,C,< 1 year,15,87.2,13.33,385.1,239335,15.17,24177,100,3,107000,16800,Fully Paid
36 months,C5,C,1 year,15,64.3,14.65,689.89,246224,24.63,17525,100,7,44200,20000,Fully Paid
60 months,C2,C,< 1 year,15,76.1,12.69,451.9,71446,34.54,3522,100,4,60000,20000,Late (31-120 days)
36 months,B1,B,3 years,15,26.5,8.18,75.41,70177,23.3,2453,100,11,55000,2400,Fully Paid
60 months,E1,E,< 1 year,15,44.5,18.25,357.42,81724,24.48,5487,100,7,43737.6,14000,Charged Off
60 months,C2,C,,15,32.3,12.69,451.9,83171,19.51,4287,100,6,70000,20000,Fully Paid
36 months,C1,C,10+ years,15,88.3,12.29,667.06,33900,14.25,3742,100,2,65000,20000,Fully Paid
36 months,A2,A,5 years,15,76,6.39,458.99,36690,8.14,3638,100,1,81500,15000,Fully Paid
36 months,B2,B,2 years,15,57,9.17,306.04,291243,38.13,15731,100,4,62000,9600,Fully Paid
60 months,E4,E,10+ years,15,47.3,19.99,476.79,53115,30.75,1872,100,6,38438,18000,Fully Paid
36 months,B2,B,1 year,15,44.4,9.17,208.01,44756,35.75,1374,100,13,27000,6525,Fully Paid
36 months,C5,C,10+ years,15,92.5,14.65,517.42,111895,22.13,5271,100,9,54000,15000,Fully Paid
60 months,C1,C,6 years,15,75.3,12.29,223.92,28410,17.94,2672,100,2,35000,10000,Charged Off
36 months,A1,A,3 years,15,53.6,5.32,301.15,38275,25.75,1285,100,8,31000,10000,Fully Paid
36 months,A1,A,,15,59.2,5.32,557.13,307500,5.89,42765,100,3,70000,18500,Fully Paid
36 months,C3,C,2 years,15,64.8,13.18,844.52,170359,35.12,11319,100,2,50000,25000,Fully Paid
60 months,F3,F,6 years,15,44,24.24,625.13,312451,29.84,15837,44,15,80000,21625,Fully Paid
60 months,B3,B,9 years,15,60.1,9.99,212.43,206332,15.08,26204,100,3,44000,10000,Fully Paid
36 months,A5,A,2 years,15,71.1,7.89,375.43,45348,13.93,4362,100,2,36600,12000,Fully Paid
36 months,A3,A,10+ years,15,42,6.68,368.78,53141,9.06,3905,100,1,78000,12000,Fully Paid
36 months,A4,A,10+ years,15,65.9,7.26,1053.87,294647,18.59,23761,100,6,122500,34000,Fully Paid
36 months,B1,B,3 years,15,22.6,8.18,1099.69,793722,10.06,21021,100,10,210000,35000,Fully Paid
36 months,A2,A,8 years,15,56.5,6.39,642.58,69318,14.91,5894,100,4,108000,21000,Fully Paid
36 months,B3,B,10+ years,15,45.1,9.76,192.93,17000,4.77,959,45,3,40000,6000,Fully Paid
36 months,C3,C,10+ years,15,96.9,13.66,680.26,46448,28.19,4164,100,6,49304,20000,Fully Paid
36 months,D3,D,6 years,15,69.9,16.49,103.55,34825,11.78,3315,100,4,33000,2925,Fully Paid
36 months,B2,B,10+ years,15,87.1,9.17,796.98,318168,25.24,19404,100,5,130000,25000,Fully Paid
36 months,A1,A,10+ years,15,56.8,6.03,426.1,47000,17.51,3338,100,0,44000,14000,Fully Paid
36 months,B4,B,8 years,15,67.1,11.44,280.06,186881,32.06,25249,100,4,42000,8500,Fully Paid
60 months,C2,C,10+ years,15,53.6,12.69,464.89,222320,21.82,13909,100,5,60000,20575,Charged Off
60 months,C2,C,10+ years,15,97.9,12.99,409.47,128066,31.44,12630,100,7,66000,18000,Fully Paid
36 months,A1,A,10+ years,15,31,5.93,881.32,255462,14.64,5961,100,8,200000,29000,Fully Paid
36 months,B2,B,1 year,15,69,9.17,478.19,24050,18.73,1184,100,7,43500,15000,Fully Paid
36 months,C1,C,1 year,15,78.1,12.29,271,14300,9.4,1861,100,5,36000,8125,Fully Paid
60 months,D2,D,10+ years,15,43.7,16.55,393.79,192100,28.78,17335,100,2,50000,16000,Charged Off
36 months,A1,A,8 years,15,62.2,5.32,421.61,306427,14.81,23844,100,4,115000,14000,Fully Paid
36 months,C1,C,,15,56.6,12.29,120.08,16096,10.24,785,100,4,33000,3600,Fully Paid
60 months,B4,B,3 years,15,78.4,10.99,217.38,41153,28.47,3483,100,4,33000,10000,Fully Paid
36 months,C2,C,3 years,15,91.5,12.99,269.52,30314,17.47,6833,100,2,45960,8000,Fully Paid
36 months,B3,B,3 years,15,58.6,9.99,112.92,36669,12.07,2493,100,3,35000,3500,Fully Paid
60 months,D4,D,10+ years,15,74.6,17.57,452.89,45753,24.29,3583,100,4,54000,18000,Charged Off
36 months,A5,A,5 years,15,68.7,7.89,1095,404935,18.14,27428,100,1,137500,35000,Fully Paid
36 months,B2,B,< 1 year,15,67.8,9.17,637.58,19641,2.34,2003,100,1,200000,20000,Fully Paid
36 months,D3,D,< 1 year,15,59.7,16.49,477.01,67545,35.52,5454,100,10,45000,13475,Fully Paid
36 months,B2,B,10+ years,15,48.4,9.17,637.58,141573,26.91,2270,100,15,75000,20000,Charged Off
